K_1	K_2	K_3	K_4	K_5	K_6	K_7	tot_K	S_1	S_2	S_3	S_4	S_5	S_6	S_7	prS_1	prS_2	prS_3	prS_4	prS_5	prS_6	prS_7	tot_S	D_1	D_2	D_3	D_4	D_5	D_6	D_7	Pi_1	Pi_2	Pi_3	Pi_4	Pi_5	Pi_6	Pi_7	
3	26	3	3	2	5	5	47	104	985	145	797	101	854	314	0	26	0	3	0	6	0	1041	0	1.61643	0	0	0	1.98099	-0.806646	70.6667	362.468	98.3333	554.667	101	516.1	134.8	
3	5	5	3	2	26	3	47	148	305	239	204	781	992	148	0	3	3	3	11	83	1	1038	0	-0.761541	-0.866107	0	0	1.19075	0	100	131.8	101.7	139.333	781	337.369	101.333	
3	3	5	26	2	5	3	47	223	227	872	1022	776	866	275	0	0	0	2	1	0	0	1041	0	0	0.0975731	2.05085	0	2.21924	0	151.667	155.667	423.9	405.166	776	536.3	189	
5	3	2	3	26	5	3	47	860	125	794	249	1041	847	142	0	0	0	0	47	0	0	1041	-0.0537279	0	0	0	4.52727	-0.176071	0	409.9	84.6667	794	172.667	581.612	397.2	96.3333	
3	26	5	3	2	3	5	47	232	1014	879	289	781	193	427	0	11	1	0	0	0	0	1041	0	1.6069	2.16759	0	0	0	-0.330322	158.333	372.498	541.5	201.333	781	130	196.1	
3	26	2	3	5	3	5	47	179	1031	105	107	906	87	283	0	54	0	0	4	1	1	1040	0	2.22667	0	0	0.802317	0	-0.637364	121.667	420.609	105	72	480.5	58	124.5	
3	26	3	5	3	5	2	47	71	850	70	115	88	771	45	1	142	3	3	3	94	0	995	0	1.03195	0	-1.01975	0	1.92005	0	48	280.255	47.6667	47.8	59.3333	463	45	
26	5	2	3	3	3	5	47	1020	1012	180	243	225	294	879	7	3	0	0	0	0	0	1041	1.64244	2.98767	0	0	0	0	0.253412	377.077	675.5	180	166	154.667	205	435.9	
5	3	3	5	3	26	2	47	976	146	142	852	171	991	88	8	0	0	1	1	23	0	1040	1.60359	0	0	1.97367	0	1.6603	0	566.7	98.6667	96.3333	514.5	116.333	367.523	88	
3	5	26	3	3	2	5	47	249	863	1036	188	151	146	322	0	0	66	0	0	0	2	1038	0	2.13722	2.07232	0	0	0	-0.536622	168.667	530	412.169	129	102.333	146	143.7	
26	5	3	2	3	3	5	47	851	826	63	614	74	69	973	10	3	0	2	1	0	12	1040	1.31664	2.00642	0	0	0	0	1.3881	296.468	500.5	42	614	49.6667	46.3333	551.8	
3	3	5	2	5	3	26	47	127	216	344	156	976	161	1001	0	1	2	1	13	0	20	1041	0	0	-0.597668	0	2.69584	0	1.77543	87	148.333	152.2	156	633.6	110	378.782	
2	3	26	5	5	3	3	47	66	74	902	149	141	92	44	6	7	525	14	12	8	3	962	0	0	2.65091	-0.747695	-0.425332	0	0	66	49.6667	393.111	64.5	63.9	63	29.6667	
3	3	3	26	5	2	5	47	63	114	70	637	172	95	201	11	20	15	303	24	20	33	829	0	0	0	-1.46472	-0.568728	0	-0.978672	42	76.6667	47.6667	105.702	76.4	95	84.1	
2	5	3	3	3	5	26	47	108	843	141	109	86	238	765	2	122	6	0	2	9	73	1020	0	2.17654	0	0	0	-0.336672	-1.52394	108	519.8	96.3333	73.6667	58.6667	109.2	124.018	
3	5	5	2	3	3	26	47	119	341	829	128	144	789	1002	1	3	4	2	1	4	61	1026	0	-0.381722	2.04068	0	0	0	0.550045	81	155.5	504.1	128	97.6667	546	298.698	
3	26	3	5	3	5	2	47	182	843	120	292	102	327	151	16	238	8	22	8	19	15	991	0	-1.23644	0	-0.128565	0	-0.513837	0	123.333	152.578	81.3333	137.8	68.6667	146.4	151	
3	26	5	3	2	5	3	47	238	1035	373	300	143	370	230	1	164	2	1	0	2	0	1041	0	3.59756	-0.321728	0	0	-0.23228	0	161.667	515.212	171.5	208	143	172.2	157	
2	5	3	3	5	26	3	47	68	107	43	19	111	907	797	5	12	5	3	9	87	3	951	0	-1.01554	0	0	-0.325443	1.95137	0	68	44.5	28.6667	12.6667	51	353.698	544.667	
5	3	2	5	26	3	3	47	828	86	107	240	768	158	83	109	5	2	2	84	4	2	1019	-0.491447	0	0	-0.529959	-1.65146	0	0	371.9	58.3333	107	107.2	118.083	106.333	56	
26	3	3	5	2	3	5	47	554	47	88	146	64	66	137	309	14	23	42	15	28	41	754	-0.911434	0	0	-0.704293	0	0	-0.620634	112.025	31.3333	59.3333	63.6	64	44	60.4	
3	5	3	3	26	2	5	47	535	559	70	82	738	96	220	10	16	8	8	174	9	13	954	0	-0.675784	0	0	-1.6478	0	-0.317889	366.333	244.6	46.6667	55.3333	113.637	96	101.2	
5	3	2	3	3	26	5	47	760	759	60	47	60	905	143	11	10	3	5	2	109	15	961	-0.842685	0	0	0	0	-1.13166	-0.925372	324.6	514.333	60	32	40.3333	170.031	60.3	
3	3	3	2	5	26	5	47	106	113	200	138	295	1029	277	0	1	1	1	2	297	2	1037	0	0	0	0	-0.458356	2.51005	-0.686734	71.6667	76	135.333	138	133.1	438.902	121	
2	5	26	3	5	3	3	47	116	851	1027	138	255	824	91	1	0	69	0	3	2	0	1035	0	2.0505	-0.729827	0	-0.567468	0	0	116	518	220.018	93	113.3	567.333	61	
26	5	3	5	3	2	3	37	34	97	98	3	0	0	5	27	5	6	3	0	0	5	138	-2.30792	-1.26634	0	-1.59996	0	0	0	2.76245	38.8	65.6667	0.545455	0	0	3.33333	
3	2	5	5	3	26	3	47	65	93	211	192	67	964	132	3	6	6	6	1	452	3	999	0	0	-0.473002	-0.435236	0	2.7017	0	43.6667	93	95	86.9	45	423.311	90	
3	3	5	2	5	26	3	47	45	36	98	39	99	861	31	9	4	10	10	8	608	5	910	0	0	-0.878753	0	-0.866742	3.42748	0	30.6667	24	41.6	39	42.1	419.095	20.6667	
5	5	3	3	26	3	2	47	323	354	230	134	1032	130	163	2	1	1	0	245	0	0	1038	-0.617721	-0.171728	0	0	2.55334	0	0	142.5	166.1	157	91.3333	443.108	88.6667	163	
3	5	3	3	2	26	5	47	120	339	131	243	165	1007	853	0	1	2	2	2	67	3	1031	0	-0.301355	0	0	0	0.970384	-0.094141	81	156.3	89	165.667	165	327.926	404.4	
3	2	5	3	3	26	5	47	12	12	607	8	19	656	31	4	3	5	2	2	50	6	679	0	0	-1.17974	0	0	2.74438	-0.643643	8	12	246.4	5.33333	12.6667	290.04	13.6	
3	5	3	3	2	5	26	47	40	290	22	53	34	83	518	14	27	5	17	16	30	208	642	0	-0.954418	0	0	0	-0.617153	-1.50233	26.6667	121.8	14.6667	35.3333	34	36.6	84.6308	
5	2	3	5	3	26	3	47	19	9	6	399	390	446	11	8	4	2	15	7	59	8	494	-0.744427	0	0	-1.1657	0	-1.75043	0	8.2	9	4	162.3	261.333	65.56	7.33333	
2	5	3	26	5	3	3	47	121	228	74	964	826	791	150	3	12	3	65	5	1	3	1009	0	-0.407168	0	1.11117	-0.477977	0	0	121	103.6	49.6667	322.825	371.7	539	101	
3	5	5	3	2	3	26	47	790	810	325	113	144	108	983	1	6	6	5	4	0	72	1017	0	-0.426828	-0.469993	0	0	0	2.46136	545.333	367.1	146.4	76.3333	144	73.3333	416.163	
3	26	3	5	3	2	5	47	183	992	99	285	211	124	313	2	261	0	6	3	1	4	1025	0	1.71011	0	-0.23999	0	0	-0.291766	123.667	371.132	67	132.5	144	124	144.5	
26	3	5	2	5	3	3	47	977	95	815	119	282	788	100	72	1	5	2	9	3	4	1022	-1.16996	0	2.09955	0	-0.623825	0	0	181.12	64.6667	498.6	119	124.3	542.667	67.6667	
