K_1	K_2	K_3	K_4	K_5	K_6	K_7	tot_K	S_1	S_2	S_3	S_4	S_5	S_6	S_7	prS_1	prS_2	prS_3	prS_4	prS_5	prS_6	prS_7	tot_S	D_1	D_2	D_3	D_4	D_5	D_6	D_7	Pi_1	Pi_2	Pi_3	Pi_4	Pi_5	Pi_6	Pi_7	
3	3	26	5	3	2	5	14	0	1	78	1	0	0	0	0	1	77	0	0	0	0	79	0	-0.816497	-1.33038	-1.16387	0	0	0	0	0.4	8.04152	0.117647	0	0	0	
5	3	5	3	26	2	3	9	0	1	1	0	18	0	0	0	1	1	0	18	0	0	20	0	-0.816497	-1.16387	0	-0.0524135	0	0	0	0.4	0.117647	0	2.92443	0	0	
2	3	3	26	5	3	5	16	2	0	1	43	4	1	1	2	0	1	42	4	1	0	51	0	0	-0.816497	-2.35692	-1.71166	-0.816497	-1.16387	2	0	0.4	1.28631	0.727273	0.4	0.117647	
2	3	5	3	5	26	3	17	0	10	16	1	32	44	1	0	0	5	1	1	6	1	55	0	0	-0.458202	-0.816497	2.42163	-2.30425	-0.816497	0	6.66667	7.2	0.4	17.4444	1.2622	0.4	
3	2	3	5	3	26	5	15	18	1	0	17	1	27	5	3	1	0	0	1	10	0	32	0	0	0	-1.36473	-0.816497	-1.53111	1.54106	12	1	0	5.2381	0.4	2.11486	2.30769	
2	3	26	5	3	3	5	24	4	1	66	37	38	0	40	2	1	31	3	7	0	7	86	0	-0.816497	-2.47287	-2.18557	0	0	-1.175	4	0.4	2.15135	6.72727	25.6667	0	16.2	
5	3	3	2	3	5	26	27	9	3	1	1	1	69	95	2	0	1	1	0	17	37	116	1.29919	-1.04849	-0.816497	0	-0.816497	-0.210433	-2.00631	4.57143	1.2	0.4	1	0.4	32.2	6.78681	
5	26	3	3	5	2	3	16	26	36	0	28	2	1	0	0	10	0	3	0	1	0	41	-2.43111	0.22161	0	0	0.195897	0	0	3.05882	6.72907	0	18.6667	0.777778	1	0	
3	3	5	5	3	2	26	31	75	2	55	44	2	2	112	3	2	1	7	2	1	40	134	0	0	2.52143	-0.470746	0	0	-2.22945	50.6667	1.33333	30.2222	19.8	1.33333	2	6.64003	
3	5	3	5	3	2	26	27	2	36	38	5	2	2	70	2	1	5	2	2	2	40	90	0	0.733022	0	-1.79107	0	0	-2.28829	1.33333	16.5714	25.3333	0.909091	1.33333	2	3.64544	
3	5	5	2	3	26	3	23	0	93	85	1	86	110	1	0	3	3	1	0	21	1	120	0	1.47353	0.875624	0	0	-2.5759	-0.816497	0	53.3	39.9048	1	57.6667	3.37794	0.4	
5	3	26	5	2	3	3	27	99	100	136	102	1	2	3	3	1	19	3	1	2	3	151	-2.56147	0	-2.43297	1.68285	0	0	0	11.6471	66.6667	5.35804	59.8	1	1.33333	2	
5	26	3	3	2	5	3	20	78	85	1	0	3	62	1	6	22	1	0	1	5	0	115	0.275507	-1.31685	-0.816497	0	0	-1.07378	-0.816497	38.8	7.87642	0.4	0	3	16.3818	0.4	
2	26	3	5	5	3	3	32	2	83	40	45	48	1	1	2	17	3	4	0	1	1	100	0	-1.18749	0	-0.837177	0.906597	-0.816497	-0.816497	2	12.7738	26.6667	19.2	22.6667	0.4	0.4	
26	3	3	5	5	3	2	31	144	98	0	124	143	0	0	25	5	0	10	25	0	0	189	-1.21381	0	0	0.969175	0.272952	0	0	23.0868	65.3333	0	67.1	71.1	0	0	
26	5	3	3	5	3	2	28	167	113	2	0	132	130	0	27	2	2	0	1	9	0	181	1.88581	-1.64553	0	0	-0.980443	0	0	58.7038	33.1429	1.33333	0	55.2	87.6667	0	
3	3	3	26	5	2	5	43	2	1	34	124	64	1	46	2	1	1	49	4	1	13	146	0	-0.816497	0	-0.976552	0.118274	0	0.314047	1.33333	0.4	22.6667	23.8492	31.2	1	23	
2	5	5	3	26	3	3	38	0	59	226	213	283	1	1	0	4	6	9	41	0	1	306	0	-0.0854519	-0.849654	0	2.05798	-0.816497	-0.816497	0	28	96.4	143	106.563	0.4	0.4	
3	26	3	5	5	3	2	32	0	115	63	85	38	1	1	0	25	2	3	4	1	1	126	0	-1.19134	0	-0.79995	0.807334	-0.816497	0	0	18.0035	42	36.5	20.2	0.4	1	
26	3	5	3	2	3	5	20	59	0	38	3	0	0	36	21	0	2	0	0	0	0	61	0.889615	0	-1.16981	-1.04849	0	0	1.44204	15.506	0	15.4	1.2	0	0	20.6	
5	3	26	2	3	5	3	32	111	0	140	1	86	96	0	6	0	36	1	0	4	0	154	-0.639467	0	-0.264774	0	-1.26516	-1.03542	0	48.8	0	30.5526	1	34.4	39.8	0	
3	3	3	5	26	5	2	35	1	43	1	38	70	40	0	1	5	1	6	24	2	0	89	-0.816497	0	-0.816497	-1.16981	0.307524	-0.665835	0	0.4	29	0.4	15.4	18.8105	17.5	0	
3	3	5	2	5	3	26	32	1	2	128	0	120	17	169	1	2	18	0	4	7	40	201	-0.816497	0	-0.723495	0	-1.32285	0	0.672006	0.4	1.33333	55.6	0	37.9048	11.3333	45.9884	
2	26	3	5	5	3	3	35	2	83	1	47	10	4	6	2	30	1	0	2	4	3	95	0	-1.06441	-0.816497	0.78203	-0.894499	0	0	2	14.2508	0.4	24.9	4.2	2.66667	4	
5	5	3	2	26	3	3	9	6	6	0	0	10	0	2	2	2	0	0	5	0	0	14	-1.52412	0.254021	0	0	0.0714211	0	0	1.71429	2.57143	0	0	1.78969	0	1.33333	
5	3	3	5	2	3	26	26	47	1	27	38	0	1	87	1	1	1	2	0	1	35	96	0.54809	-0.816497	0	-1.08743	0	-0.816497	0.0849592	24.2	0.4	18	15.6	0	0.4	19.2541	
3	3	3	5	26	5	2	34	23	1	1	51	82	55	0	2	1	1	1	21	4	0	91	0	-0.816497	-0.816497	-0.764706	-1.0079	-0.257589	0	15.3333	0.4	0.4	22	14.3794	25.5	0	
26	5	3	3	3	5	2	32	83	49	0	47	1	46	1	34	2	0	2	1	2	1	91	0.482711	1.30868	0	0	-0.816497	-1.05138	0	23.6115	27.6	0	31.3333	0.4	19	1	
2	3	26	5	3	5	3	27	0	13	40	19	1	17	2	0	2	15	4	1	1	2	50	0	0	0.287379	-1.5426	-0.816497	-1.04473	-0.972558	0	8.66667	9.86087	5.61905	0.4	7	0.8	
2	5	3	3	5	26	3	17	0	13	0	10	14	25	0	0	1	0	0	2	10	0	28	0	-0.0702101	0	0	-0.780894	-0.511398	0	0	5.2381	0	6.66667	6	4.39814	0	
3	2	3	5	3	26	5	28	0	2	38	40	0	62	43	0	2	2	2	0	18	1	70	0	0	0	-1.62509	0	0.240619	-1.10895	0	2	25.3333	11.7143	0	15.7354	17.6	
3	3	3	2	26	5	5	7	5	0	0	0	6	3	2	1	0	0	0	2	0	1	8	-1.12397	0	0	0	-1.25654	-1.70573	-0.778153	2	0	0	0	0.315607	0.352941	0.509091	
26	5	2	5	3	3	3	28	76	7	0	20	1	45	2	21	1	0	1	1	4	2	86	-1.03606	-0.172568	0	-1.3679e-15	-0.816497	0	-0.972558	11.7226	2.7619	0	9.6	0.4	30	0.8	
5	3	26	3	3	2	5	6	0	0	0	0	1	8	15	0	0	0	0	1	0	7	16	0	0	0	0	-0.816497	0	1.87767	0	0	0	0	0.4	8	7.66667	
26	3	2	3	5	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	3	2	5	26	5	3	8	1	0	17	0	3	1	0	1	0	16	0	3	0	0	21	-0.816497	0	0	0	-1.37388	0.950509	0	0.4	0	17	0	0.0112782	0.461538	0	
5	26	3	2	3	5	3	17	31	8	1	20	2	3	2	22	8	1	11	2	3	2	58	2.41409	-1.98129	-0.816497	0	0	-1.59996	-0.972558	16.8889	0.0434783	0.4	20	1.33333	0.545455	0.8	
5	3	3	26	2	5	3	12	1	0	0	4	6	184	2	1	0	0	3	4	181	2	194	-1.16387	0	0	-1.54448	0	-0.211065	0	0.117647	0	0	0.0163934	6	60.0727	1.33333	
26	3	2	3	5	5	3	15	6	1	12	0	14	3	0	6	1	6	0	8	3	0	30	-1.7725	-0.816497	0	0	0.550374	-1.35841	0	0.0439731	0.4	12	0	6.28571	0.857143	0	
3	3	3	26	2	5	5	3	0	0	0	0	4	0	8	0	0	0	0	2	0	6	10	0	0	0	0	0	0	-2.13003	0	0	0	0	4	0	0.941176	
2	26	3	3	5	5	3	12	37	3	2	1	1	41	1	8	3	2	1	1	12	1	57	0	-1.37388	-0.972558	-0.816497	-1.16387	2.47354	-0.816497	37	0.0112782	0.8	0.4	0.117647	22.4444	0.4	
3	3	5	2	3	26	5	7	1	0	0	7	0	2	26	1	0	0	6	0	2	25	35	-0.816497	0	0	0	0	-1.15475	-2.43111	0.4	0	0	7	0	0.00692042	3.05882	
3	2	5	3	5	3	26	11	0	43	34	0	2	0	5	0	27	19	0	2	0	4	68	0	0	2.43544	0	-1.42961	0	-1.60815	0	43	18.5556	0	0.363636	0	0.0622564	
3	26	3	5	3	5	2	16	1	6	79	77	0	97	0	1	6	19	2	0	13	0	125	-0.816497	-1.789	0	-1.70267	0	0.565799	0	0.4	0.0269058	52.6667	22.2381	0	43.4286	0	
26	3	3	2	5	3	5	11	18	13	0	0	12	0	12	6	1	0	0	0	0	1	20	-1.83913	0	0	0	1.76483	0	-0.15125	0.775078	8.66667	0	0	5.53846	0	4.7619	
5	26	5	2	3	3	3	23	37	44	39	0	37	1	3	3	10	3	0	1	1	3	62	-1.50506	-2.62678	0.167061	0	0	-0.816497	0	11.1429	0.864576	16.381	0	24.6667	0.4	2	
26	3	5	5	3	3	2	22	34	1	5	137	0	0	1	25	1	4	128	0	0	0	168	-1.97871	-0.816497	-1.12397	-0.620634	0	0	0	1.83974	0.4	2	60.4	0	0	1	
2	26	3	3	5	5	3	17	1	26	0	1	13	8	0	1	20	0	1	7	2	0	37	0	-2.54756	0	-0.816497	-1.44633	-1.57597	0	1	0.162632	0	0.4	3.90476	2.28571	0	
5	2	3	5	3	3	26	9	27	0	0	27	1	0	4	5	0	0	5	1	0	4	37	1.73352	0	0	1.88518	-0.816497	0	-1.53261	14.381	0	0	12.4615	0.4	0	0.0150376	
5	5	3	2	3	26	3	5	1	2	0	0	0	3	0	0	2	0	0	0	2	0	5	0.950509	-1.50358	0	0	0	-1.37388	0	0.461538	0.235294	0	0	0	0.0112782	0	
5	5	26	3	2	3	3	11	88	9	13	0	0	0	4	82	0	3	0	0	0	3	99	0.910186	1.70281	-2.21022	0	0	0	0	41.5238	4.15385	0.058296	0	0	0	2.66667	
3	3	3	5	2	5	26	14	0	0	3	30	0	28	13	0	0	0	3	0	1	6	39	0	0	-1.04849	0.773397	0	2.38841	-2.21986	0	0	1.2	13.9048	0	15.2222	0.108252	
3	3	26	2	3	5	5	7	1	15	1	0	0	0	21	0	7	1	0	0	0	14	30	-0.816497	-1.21852	-0.842598	0	0	0	-1.18797	0.4	6	0.00319489	0	0	0	6.7619	
5	26	2	5	3	3	3	26	27	41	1	25	4	1	25	3	16	1	4	4	1	3	57	-0.897703	0.0461634	0	-1.2773	0	-0.816497	0	11.4	8.48456	1	7.90476	2.66667	0.4	16.6667	
5	3	3	2	26	5	3	28	16	0	0	1	43	22	22	2	0	0	0	14	7	0	52	-1.22187	0	0	0	0.880709	-0.674115	0	6.4	0	0	1	11.8917	9.6	15	
3	3	26	5	3	5	2	23	0	2	27	6	2	12	0	0	1	14	1	0	1	0	30	0	0	-1.66644	0.254021	0	-0.200898	0	0	1.33333	2.85584	2.57143	1.33333	5.6	0	
2	5	26	3	5	3	3	6	0	10	11	0	12	0	0	0	0	1	0	2	0	0	13	0	2.37379	3.06391	0	-1.42175	0	0	0	5.55556	4.13079	0	3.61905	0	0	
26	3	3	3	5	2	5	18	32	1	0	7	27	1	26	6	1	0	1	1	0	2	37	0.484253	-0.816497	0	0	0.112293	0	0.429842	6.73769	0.4	0	4.66667	11.2381	1	13.2	
26	2	5	5	3	3	3	11	19	0	5	3	0	4	0	14	0	0	0	0	1	0	20	-1.43929	0	0.132101	-1.70573	0	0	0	1.67086	0	2.09524	0.352941	0	2.66667	0	
3	5	2	3	3	5	26	7	0	5	0	0	3	4	5	0	2	0	0	0	0	2	8	0	-0.561431	0	0	0	-0.318697	0.212616	0	1.80952	0	0	2	1.52381	0.930496	
3	3	5	2	5	3	26	4	3	1	2	0	2	0	3	0	0	1	0	0	0	0	4	0	-0.816497	-1.42961	0	-1.50358	0	-1.09447	2	0.4	0.363636	0	0.235294	0	0.111285	
26	5	3	3	5	3	2	20	27	13	0	12	11	1	1	14	1	0	2	0	0	1	31	-0.908684	-0.0702101	0	0	0.557245	-0.816497	0	3.84842	5.2381	0	8	4.95238	0.4	1	
3	2	5	5	3	3	26	12	0	1	8	6	7	0	14	0	1	0	0	1	0	1	16	0	0	0.5691	-0.536266	0	0	1.10101	0	1	3.61905	2.19048	4.66667	0	3.71744	
5	26	2	3	3	3	5	20	17	59	1	39	0	0	36	2	14	1	3	0	0	1	66	0.316616	1.91673	0	0	0	0	0.956115	7.33333	19.0119	1	26	0	0	17.1429	
5	2	3	3	26	3	5	28	20	0	0	16	47	0	22	2	0	0	3	22	0	4	56	0.308024	0	0	0	-0.68601	0	1.29944	10	0	0	10.6667	9.04125	0	10.2222	
3	5	3	2	26	3	5	26	0	12	0	1	87	22	56	0	4	0	1	28	1	2	95	0	0.552468	0	0	-1.02825	0	-0.772518	0	6.2	0	1	14.1053	14.6667	19.8095	
3	26	5	3	2	3	5	11	9	15	13	0	0	0	15	0	2	1	0	0	0	1	19	0	0.60149	2.10035	0	0	0	-1.48636	6	3.38497	6.88889	0	0	0	4.47619	
26	5	3	3	3	5	2	19	26	12	1	2	0	5	0	14	1	1	1	0	2	0	32	-1.56871	-0.954263	-0.816497	-0.972558	0	-1.48614	0	2.51245	5	0.4	0.8	0	1.42857	0	
26	5	5	2	3	3	3	26	99	32	45	0	1	0	0	70	0	5	0	0	0	0	119	0.130111	-1.1315	-0.0697648	0	-0.816497	0	0	23.5782	10.4762	21.4	0	0.4	0	0	
3	2	3	5	5	26	3	31	0	0	1	64	49	97	17	0	0	1	7	1	25	2	108	0	0	-0.816497	-0.556503	0.440306	0.0827655	0	0	0	0.4	23.619	21.5238	23.3205	11.3333	
5	5	26	3	3	3	2	28	25	70	105	66	0	0	0	3	4	22	5	0	0	0	117	0.706673	-1.17258	1.26555	0	0	0	0	11.4762	28.4	33.5562	44	0	0	0	
26	3	5	5	2	3	3	27	64	1	30	35	0	24	0	26	1	1	1	0	4	0	77	0.012465	-0.816497	-0.103845	-0.42036	0	0	0	14.6135	0.4	14.2	13.2381	0	16	0	
3	26	5	3	2	5	3	25	2	52	25	9	1	20	0	2	25	3	1	1	2	0	65	0	-0.936579	-0.324994	0	0	-0.177792	0	1.33333	8.37557	9.61905	6	1	7.90476	0	
5	3	2	26	3	5	3	6	0	0	0	3	0	0	1	0	0	0	3	0	0	1	4	0	0	0	-1.3324	0	0	-0.816497	0	0	0	0.0284546	0	0	0.4	
2	5	3	3	26	5	3	15	0	4	0	3	35	29	0	0	4	0	0	6	0	0	39	0	-0.410175	0	-1.04849	-1.82399	-1.31994	0	0	1.8	0	1.2	2.55213	9.09524	0	
